Midterm_Percentage,Assignment_Percentage,Practical_Percentage,Actual_Result
30,87.5,80,1
53.33333333,87.5,60,1
43.33333333,87.5,70,0
80,75,75,1
30,87.5,80,1
8.333333333,87.5,70,0
71.66666667,75,65,1
45,87.5,90,1
30,87.5,80,1
36.66666667,87.5,80,1
75,87.5,95,1
31.66666667,87.5,70,1
45,87.5,80,1
40,87.5,70,1
25,87.5,80,1
10,90,80,1
25,87.5,70,1
51.66666667,87.5,80,1
53.33333333,87.5,80,1
38.33333333,87.5,70,0
70,75,70,1
35,87.5,60,1
73.33333333,87.5,95,1
41.66666667,87.5,90,1
33.33333333,87.5,60,1
23.33333333,87.5,60,1
45,87.5,80,1
38.33333333,87.5,70,1
38.33333333,87.5,70,1
36.66666667,87.5,85,1
28.33333333,87.5,85,1
30,87.5,75,1
46.66666667,87.5,90,1
0,0,80,NULL
21.66666667,87.5,60,1
13.33333333,87.5,65,0
58.33333333,75,60,1
28.33333333,87.5,90,1
53.33333333,87.5,90,1
40,87.5,80,1
16.66666667,87.5,70,0
68.33333333,75,80,1
36.66666667,87.5,70,1
48.33333333,87.5,80,1
38.33333333,87.5,70,1
30,87.5,90,1
70,87.5,80,1
38.33333333,87.5,70,0
68.33333333,75,80,1
31.66666667,87.5,90,1
35,87.5,90,1
26.66666667,87.5,70,1
41.66666667,87.5,90,1
45,87.5,80,1
0,0,80,NULL
38.33333333,87.5,70,1
13.33333333,87.5,90,1
31.66666667,87.5,70,1
43.33333333,87.5,80,1
36.66666667,87.5,90,1
40,87.5,70,1
21.66666667,87.5,70,1
48.33333333,87.5,80,1
33.33333333,87.5,80,1
35,87.5,70,1
43.33333333,87.5,70,1
33.33333333,87.5,90,1
28.33333333,87.5,90,1
20,87.5,80,1
43.33333333,87.5,90,1
40,87.5,80,1
58.33333333,87.5,90,1
45,87.5,80,1
53.33333333,87.5,60,1
53.33333333,87.5,65,1
18.33333333,87.5,95,0
68.33333333,75,90,1
63.33333333,87.5,70,1
41.66666667,87.5,70,1
35,87.5,80,1
36.66666667,87.5,0,1
0,0,85,NULL
0,0,80,NULL
0,0,80,NULL
0,0,80,NULL
0,0,70,NULL
0,0,90,NULL
0,0,85,NULL
0,0,90,NULL
0,0,70,NULL
0,0,85,NULL
0,0,75,NULL
0,0,65,NULL
0,0,65,NULL
0,0,90,NULL
0,0,85,NULL
0,0,80,NULL
0,0,90,NULL
0,0,90,NULL
0,0,100,NULL
0,0,95,NULL
0,0,75,NULL
0,0,0,NULL
0,0,60,NULL
0,0,95,NULL
0,0,85,NULL
0,0,65,NULL
0,0,75,NULL
0,0,75,NULL
0,0,70,NULL
0,0,90,NULL
0,0,75,NULL
0,0,60,NULL
0,0,65,NULL
0,0,95,NULL
0,0,85,NULL
